"Province","year","Allocated.Budget..Rs..In.Millions.","Sector.Sub.Sector","Population"
"Sindh",2008,"4873.18","Agriculture",40119000
"Sindh",2008,"4700","Education",40119000
"Sindh",2008,"860.22","Information Technology",40119000
"Sindh",2008,"2977.94","Health",40119000
"Sindh",2008,"172.95","Women's Development",40119000
"Sindh",2008,"1129.39","Industries",40119000
"Sindh",2008,"130","Auqaf and Religious Affairs",40119000
"Sindh",2009,"6484.66","Agriculture",41246000
"Sindh",2009,"5950","Education",41246000
"Sindh",2009,"886.77","Information Technology",41246000
"Sindh",2009,"4919","Health",41246000
"Sindh",2009,"302.95","Women's Development",41246000
"Sindh",2009,"1233.14","Industries",41246000
"Sindh",2009,"242","Auqaf and Religious Affairs",41246000
"Sindh",2010,"6654.07","Agriculture",42400000
"Sindh",2010,"7030","Education",42400000
"Sindh",2010,"1975.91","Information Technology",42400000
"Sindh",2010,"6300","Health",42400000
"Sindh",2010,"338.55","Women's Development",42400000
"Sindh",2010,"1356.45","Industries",42400000
"Sindh",2010,"271.04","Auqaf and Religious Affairs",42400000
"Sindh",2013,"6167","Agriculture",46061687
"Sindh",2013,"13485","Education",46061687
"Sindh",2013,"500","Food",46061687
"Sindh",2013,"1047.24","Information Technology",46061687
"Sindh",2013,"17000","Health",46061687
"Sindh",2013,"435","Women's Development",46061687
"Sindh",2013,"174.39","Industries",46061687
"Sindh",2013,"370","Auqaf and Religious Affairs",46061687
"Sindh",2014,"4476.24","Agriculture",47351414
"Sindh",2014,"10709.2","Education",47351414
"Sindh",2014,"360","Food",47351414
"Sindh",2014,"754.01","Information Technology",47351414
"Sindh",2014,"13224.92","Health",47351414
"Sindh",2014,"313.2","Women's Development",47351414
"Sindh",2014,"125.56","Industries",47351414
"Sindh",2014,"2070.67","Auqaf and Religious Affairs",47351414
"Sindh",2014,"266.4","Auqaf and Religious Affairs",47351414
"Sindh",2015,"4500","Agriculture",48677254
"Sindh",2015,"10000","Education",48677254
"Sindh",2015,"360","Food",48677254
"Sindh",2015,"500","Information Technology",48677254
"Sindh",2015,"13000","Health",48677254
"Sindh",2015,"400","Women's Development",48677254
"Sindh",2015,"2500","Industries",48677254
"Sindh",2015,"260","Auqaf and Religious Affairs",48677254
"Sindh",2016,"5794","Agriculture",50040217
"Sindh",2016,"17233","Education",50040217
"Sindh",2016,"383","Food",50040217
"Sindh",2016,"14000","Health",50040217
"Sindh",2016,"426","Women's Development",50040217
"Sindh",2016,"2829","Industries",50040217
"Sindh",2016,"989.75","Auqaf and Religious Affairs",50040217
"Sindh",2016,"277","Auqaf and Religious Affairs",50040217
