Province,year,Allocated.Budget..Rs..In.Millions.,Sector.Sub.Sector,Population
Punjab,2002,154,Livestock,81598000
Punjab,2002,200,Information Technology,81598000
Punjab,2002,657,Agriculture,81598000
Punjab,2002,780,Health,81598000
Punjab,2003,172,Livestock,83067000
Punjab,2003,230,Information Technology,83067000
Punjab,2003,737,Agriculture,83067000
Punjab,2003,860,Health,83067000
Punjab,2004,208,Livestock,84562000
Punjab,2004,366,Information Technology,84562000
Punjab,2004,737,Agriculture,84562000
Punjab,2004,2000,Health,84562000
Punjab,2005,700,Information Technology,86087000
Punjab,2005,1231,Livestock,86087000
Punjab,2005,1433,Agriculture,86087000
Punjab,2005,3300,Health,86087000
Punjab,2006,50,Food,87548000
Punjab,2006,50,Auqaf and Religious Affairs,87548000
Punjab,2006,600,Livestock,87548000
Punjab,2006,680,Industries,87548000
Punjab,2006,800,Information Technology,87548000
Punjab,2006,1100,Agriculture,87548000
Punjab,2006,4300,Health,87548000
Punjab,2006,12480,Education,87548000
Punjab,2007,82,Auqaf and Religious Affairs,89036000
Punjab,2007,120,Food,89036000
Punjab,2007,1200,Livestock,89036000
Punjab,2007,1250,Information Technology,89036000
Punjab,2007,1300,Industries,89036000
Punjab,2007,2800,Agriculture,89036000
Punjab,2007,6500,Health,89036000
Punjab,2007,21480,Education,89036000
Punjab,2008,100,Food,90550000
Punjab,2008,100,Auqaf and Religious Affairs,90550000
Sindh,2008,4873.18,Agriculture,40119000
Sindh,2008,4700,Education,40119000
Sindh,2008,860.22,Information Technology,40119000
Sindh,2008,2977.94,Health,40119000
Sindh,2008,172.95,Women's Development,40119000
Sindh,2008,1129.39,Industries,40119000
Sindh,2008,130,Auqaf and Religious Affairs,40119000
Punjab,2008,1500,Information Technology,90550000
Punjab,2008,1800,Industries,90550000
Punjab,2008,1900,Livestock,90550000
Punjab,2008,3000,Agriculture,90550000
Punjab,2008,9000,Health,90550000
Punjab,2008,30129,Education,90550000
Punjab,2009,100,Food,92089000
Punjab,2009,375,Auqaf and Religious Affairs,92089000
Punjab,2009,550,Industries,92089000
Punjab,2009,1300,Information Technology,92089000
Sindh,2009,6484.66,Agriculture,41246000
Sindh,2009,5950,Education,41246000
Sindh,2009,886.77,Information Technology,41246000
Sindh,2009,4919,Health,41246000
Sindh,2009,302.95,Women's Development,41246000
Sindh,2009,1233.14,Industries,41246000
Sindh,2009,242,Auqaf and Religious Affairs,41246000
Punjab,2009,2000,Livestock,92089000
Punjab,2009,3200,Agriculture,92089000
Punjab,2009,12025,Health,92089000
Punjab,2009,23125,Education,92089000
Punjab,2010,200,Food,93682000
Punjab,2010,276,Auqaf and Religious Affairs,93682000
Punjab,2010,360,Industries,93682000
Punjab,2010,1960,Information Technology,93682000
Sindh,2010,6654.07,Agriculture,42400000
Sindh,2010,7030,Education,42400000
Punjab,2010,2000,Livestock,93682000
Sindh,2010,1975.91,Information Technology,42400000
Sindh,2010,6300,Health,42400000
Sindh,2010,338.55,Women's Development,42400000
Sindh,2010,1356.45,Industries,42400000
Sindh,2010,271.04,Auqaf and Religious Affairs,42400000
Punjab,2010,3200,Agriculture,93682000
Punjab,2010,14500,Health,93682000
Punjab,2010,23300,Education,93682000
Punjab,2011,150,Auqaf and Religious Affairs,95153000
Punjab,2011,230,Food,95153000
Punjab,2011,2000,Information Technology,95153000
Punjab,2011,2500,Livestock,95153000
Punjab,2011,2860,Industries,95153000
Balochistan,2011,928.65,Agriculture,9162000
Balochistan,2011,2820.19,Education,9162000
Balochistan,2011,30,Food,9162000
Balochistan,2011,21.53,Information Technology,9162000
Balochistan,2011,0,Women's Development,9162000
Balochistan,2011,139.1,Industries,9162000
Balochistan,2011,1597.8,Health,9162000
Balochistan,2011,38.05,Livestock,9162000
Punjab,2011,3400,Agriculture,95153000
Punjab,2011,14800,Health,95153000
Punjab,2011,23900,Education,95153000
Punjab,2012,185,Auqaf and Religious Affairs,96676000
