"Province","year","Allocated.Budget..Rs..In.Millions.","Sector.Sub.Sector","Population"
"Khyber Pakhtunkhwa",2013,"2003.95","Agriculture",27166000
"Khyber Pakhtunkhwa",2013,"29798.97","Education",27166000
"Khyber Pakhtunkhwa",2013,"500.23","Food",27166000
"Khyber Pakhtunkhwa",2013,"210.54","Information Technology",27166000
"Khyber Pakhtunkhwa",2013,"10088.23","Health",27166000
"Khyber Pakhtunkhwa",2013,"4458.36","Industries",27166000
"Khyber Pakhtunkhwa",2013,"106","Auqaf and Religious Affairs",27166000
"Khyber Pakhtunkhwa",2014,"2455.44","Agriculture",27932000
"Khyber Pakhtunkhwa",2014,"26106.58","Education",27932000
"Khyber Pakhtunkhwa",2014,"501","Food",27932000
"Khyber Pakhtunkhwa",2014,"224","Information Technology",27932000
"Khyber Pakhtunkhwa",2014,"11210.54","Health",27932000
"Khyber Pakhtunkhwa",2014,"5077.21","Industries",27932000
"Khyber Pakhtunkhwa",2014,"149","Auqaf and Religious Affairs",27932000
"Khyber Pakhtunkhwa",2015,"2467.83","Agriculture",28721000
"Khyber Pakhtunkhwa",2015,"22178.45","Education",28721000
"Khyber Pakhtunkhwa",2015,"501","Food",28721000
"Khyber Pakhtunkhwa",2015,"224","Information Technology",28721000
"Khyber Pakhtunkhwa",2015,"12432.59","Health",28721000
"Khyber Pakhtunkhwa",2015,"4540.69","Industries",28721000
"Khyber Pakhtunkhwa",2015,"222","Auqaf and Religious Affairs",28721000
"Khyber Pakhtunkhwa",2016,"6201.93","Agriculture",29531000
"Khyber Pakhtunkhwa",2016,"21699.47","Education",29531000
"Khyber Pakhtunkhwa",2016,"732","Food",29531000
"Khyber Pakhtunkhwa",2016,"180","Information Technology",29531000
"Khyber Pakhtunkhwa",2016,"17479.11","Health",29531000
"Khyber Pakhtunkhwa",2016,"1975.01","Industries",29531000
"Khyber Pakhtunkhwa",2016,"366","Auqaf and Religious Affairs",29531000
"Khyber Pakhtunkhwa",2017,"5289.81","Agriculture",35525000
"Khyber Pakhtunkhwa",2017,"27033.53","Education",35525000
"Khyber Pakhtunkhwa",2017,"732","Food",35525000
"Khyber Pakhtunkhwa",2017,"180","Information Technology",35525000
"Khyber Pakhtunkhwa",2017,"16474.71","Health",35525000
"Khyber Pakhtunkhwa",2017,"4010.56","Industries",35525000
"Khyber Pakhtunkhwa",2017,"620","Auqaf and Religious Affairs",35525000
"Khyber Pakhtunkhwa",2018,"3482.83","Agriculture",36628000
"Khyber Pakhtunkhwa",2018,"20956.61","Education",36628000
"Khyber Pakhtunkhwa",2018,"472","Food",36628000
"Khyber Pakhtunkhwa",2018,"145","Information Technology",36628000
"Khyber Pakhtunkhwa",2018,"11863.47","Health",36628000
"Khyber Pakhtunkhwa",2018,"1638.92","Industries",36628000
"Khyber Pakhtunkhwa",2018,"400","Auqaf and Religious Affairs",36628000
