"Province","year","Allocated.Budget..Rs..In.Millions.","Sector.Sub.Sector","Population"
"Punjab",2013,36,"Auqaf and Religious Affairs",98223000
"Punjab",2006,50,"Food",87548000
"Punjab",2006,50,"Auqaf and Religious Affairs",87548000
"Punjab",2007,82,"Auqaf and Religious Affairs",89036000
"Punjab",2015,100,"Auqaf and Religious Affairs",101391000
"Punjab",2014,100,"Auqaf and Religious Affairs",99794000
"Punjab",2009,100,"Food",92089000
"Punjab",2008,100,"Food",90550000
"Punjab",2008,100,"Auqaf and Religious Affairs",90550000
"Punjab",2013,110,"Food",98223000
"Punjab",2007,120,"Food",89036000
"Punjab",2011,150,"Auqaf and Religious Affairs",95153000
"Punjab",2002,154,"Livestock",81598000
"Punjab",2012,185,"Auqaf and Religious Affairs",96676000
"Punjab",2012,200,"Food",96676000
"Punjab",2003,172,"Livestock",83067000
"Punjab",2010,200,"Food",93682000
"Punjab",2011,230,"Food",95153000
"Punjab",2002,200,"Information Technology",81598000
"Punjab",2004,208,"Livestock",84562000
"Punjab",2003,230,"Information Technology",83067000
"Punjab",2010,276,"Auqaf and Religious Affairs",93682000
"Punjab",2012,350,"Industries",96676000
"Punjab",2010,360,"Industries",93682000
"Punjab",2016,400,"Auqaf and Religious Affairs",103013000
"Punjab",2009,375,"Auqaf and Religious Affairs",92089000
"Punjab",2004,366,"Information Technology",84562000
"Punjab",2015,500,"Women's Development",101391000
"Punjab",2012,500,"Women's Development",96676000
"Punjab",2009,550,"Industries",92089000
"Punjab",2006,600,"Livestock",87548000
"Punjab",2015,725,"Food",101391000
"Punjab",2006,680,"Industries",87548000
"Punjab",2002,657,"Agriculture",81598000
"Punjab",2005,700,"Information Technology",86087000
"Punjab",2004,737,"Agriculture",84562000
"Punjab",2003,737,"Agriculture",83067000
"Punjab",2014,900,"Women's Development",99794000
"Punjab",2006,800,"Information Technology",87548000
"Punjab",2014,940,"Food",99794000
"Punjab",2002,780,"Health",81598000
"Punjab",2013,1000,"Women's Development",98223000
"Punjab",2003,860,"Health",83067000
"Punjab",2006,1100,"Agriculture",87548000
"Punjab",2007,1200,"Livestock",89036000
"Punjab",2007,1250,"Information Technology",89036000
"Punjab",2009,1300,"Information Technology",92089000
"Punjab",2005,1231,"Livestock",86087000
"Punjab",2007,1300,"Industries",89036000
"Punjab",2013,1444,"Livestock",98223000
"Punjab",2008,1500,"Information Technology",90550000
"Punjab",2005,1433,"Agriculture",86087000
"Punjab",2012,1650,"Livestock",96676000
"Punjab",2016,1893,"Industries",103013000
"Punjab",2008,1800,"Industries",90550000
"Punjab",2010,1960,"Information Technology",93682000
"Punjab",2008,1900,"Livestock",90550000
"Punjab",2011,2000,"Information Technology",95153000
"Punjab",2010,2000,"Livestock",93682000
"Punjab",2016,2200,"Agriculture",103013000
"Punjab",2009,2000,"Livestock",92089000
"Punjab",2004,2000,"Health",84562000
"Punjab",2012,2400,"Information Technology",96676000
"Punjab",2011,2500,"Livestock",95153000
"Punjab",2011,2860,"Industries",95153000
"Punjab",2007,2800,"Agriculture",89036000
"Punjab",2013,3202,"Industries",98223000
"Punjab",2008,3000,"Agriculture",90550000
"Punjab",2010,3200,"Agriculture",93682000
"Punjab",2009,3200,"Agriculture",92089000
"Punjab",2011,3400,"Agriculture",95153000
"Punjab",2005,3300,"Health",86087000
"Punjab",2016,4500,"Women's Development",103013000
"Punjab",2006,4300,"Health",87548000
"Punjab",2015,5065,"Livestock",101391000
"Punjab",2014,5200,"Livestock",99794000
"Punjab",2012,5040,"Agriculture",96676000
"Punjab",2013,5230,"Agriculture",98223000
"Punjab",2014,7110,"Industries",99794000
"Punjab",2015,7330,"Industries",101391000
"Punjab",2007,6500,"Health",89036000
"Punjab",2014,7960,"Agriculture",99794000
"Punjab",2016,9227,"Food",103013000
"Punjab",2008,9000,"Health",90550000
"Punjab",2015,10725,"Agriculture",101391000
"Punjab",2016,12587,"Livestock",103013000
"Punjab",2009,12025,"Health",92089000
"Punjab",2006,12480,"Education",87548000
"Punjab",2010,14500,"Health",93682000
"Punjab",2011,14800,"Health",95153000
"Punjab",2012,16500,"Health",96676000
"Punjab",2013,17000,"Health",98223000
"Punjab",2007,21480,"Education",89036000
"Punjab",2010,23300,"Education",93682000
"Punjab",2009,23125,"Education",92089000
"Punjab",2011,23900,"Education",95153000
"Punjab",2012,25065,"Education",96676000
"Punjab",2013,26890,"Education",98223000
"Punjab",2015,30725,"Health",101391000
"Punjab",2014,31070,"Health",99794000
"Punjab",2008,30129,"Education",90550000
"Punjab",2016,43836,"Education",103013000
"Punjab",2016,45000,"Health",103013000
"Punjab",2014,48310,"Education",99794000
"Punjab",2015,55564,"Education",101391000
